id,shannon,richness
L7-0001,1.584962500721156,3.0
L7-0007,1.584962500721156,3.0
L7-0013,2.0,4.0
L7-0020,2.0,4.0
L7-0025,-0.0,1.0
L7-0029,-0.0,1.0
L7-0030,-0.0,1.0
L7-0031,1.584962500721156,3.0
L7-0033,-0.0,1.0
L7-0035,0.0,0.0
L7-0036,1.584962500721156,3.0
L7-0038,1.584962500721156,3.0
L7-0039,-0.0,1.0
L7-0045,1.0,2.0
L7-0051,-0.0,1.0
L7-0054,0.0,0.0
L7-0058,-0.0,1.0
L7-0060,1.0,2.0
L7-0066,1.584962500721156,3.0
L7-0067,1.0,2.0
L7-0072,1.584962500721156,3.0
L7-0078,1.584962500721156,3.0
L7-0082,1.584962500721156,3.0
L7-0083,1.584962500721156,3.0
L7-0084,-0.0,1.0
L7-0091,1.584962500721156,3.0
L7-0094,-0.0,1.0
L7-0095,1.584962500721156,3.0
L7-0096,1.0,2.0
L7-0100,1.584962500721156,3.0
L7-0106,1.584962500721156,3.0
L7-0112,1.584962500721156,3.0
L7-0115,1.584962500721156,3.0
L7-0121,1.0,2.0
L7-0123,2.0,4.0
L7-0125,2.0,4.0
L7-0131,2.0,4.0
L7-0132,0.0,0.0
L7-0139,2.0,4.0
L7-0144,1.584962500721156,3.0
L7-0145,2.0,4.0
L7-0147,2.0,4.0
L7-0148,2.0,4.0
L7-0149,-0.0,1.0
L7-0150,0.0,0.0
L7-0153,-0.0,1.0
L7-0155,2.0,4.0
L7-0157,2.0,4.0
L7-0163,2.0,4.0
L7-0171,0.0,0.0
L7-0177,0.0,0.0
L7-0179,0.0,0.0
L7-0181,0.0,0.0
L7-0185,0.0,0.0
L7-0186,0.0,0.0
L7-0191,0.0,0.0
L7-0192,1.584962500721156,3.0
L7-0197,2.0,4.0
L7-0198,0.0,0.0
L7-0199,0.0,0.0
L7-0201,1.584962500721156,3.0
L7-0205,2.0,4.0
L7-0207,0.0,0.0
L7-0213,2.0,4.0
L7-0214,1.584962500721156,3.0
L7-0215,1.0,2.0
L7-0217,0.0,0.0
L7-0218,1.584962500721156,3.0
L7-0221,1.584962500721156,3.0
L7-0222,2.0,4.0
L7-0229,2.0,4.0
L7-0230,1.584962500721156,3.0
L7-0231,0.0,0.0
L7-0232,-0.0,1.0
L7-0233,2.0,4.0
L7-0235,1.584962500721156,3.0
L7-0236,-0.0,1.0
L7-0239,1.584962500721156,3.0
L7-0245,-0.0,1.0
L7-0251,1.584962500721156,3.0
L7-0253,2.0,4.0
L7-0255,0.0,0.0
L7-0256,-0.0,1.0
L7-0259,0.0,0.0
L7-0261,1.584962500721156,3.0
L7-0269,-0.0,1.0
L7-0273,0.0,0.0
L7-0278,0.0,0.0
L7-0279,2.0,4.0
L7-0280,2.0,4.0
L7-0285,2.0,4.0
L7-0288,1.584962500721156,3.0
L7-0291,1.584962500721156,3.0
L7-0297,2.0,4.0
L7-0303,2.0,4.0
L7-0304,2.0,4.0
L7-0309,2.0,4.0
L7-0311,2.0,4.0
L7-0312,1.584962500721156,3.0
L7-0313,2.0,4.0
L7-0317,2.0,4.0
L7-0323,1.584962500721156,3.0
L7-0325,2.0,4.0
L7-0327,1.584962500721156,3.0
L7-0329,2.0,4.0
L7-0331,2.0,4.0
L7-0335,0.0,0.0
L7-0337,1.584962500721156,3.0
L7-0339,2.0,4.0
L7-0347,1.584962500721156,3.0
L7-0349,2.0,4.0
L7-0350,2.0,4.0
L7-0355,2.0,4.0
L7-0360,-0.0,1.0
L7-0361,1.584962500721156,3.0
L7-0367,2.0,4.0
L7-0368,2.0,4.0
L7-0369,2.0,4.0
L7-0370,0.0,0.0
L7-0371,1.584962500721156,3.0
L7-0373,2.0,4.0
L7-0375,2.0,4.0
L7-0379,1.584962500721156,3.0
L7-0381,1.584962500721156,3.0
L7-0384,1.584962500721156,3.0
L7-0385,0.0,0.0
L7-0387,1.584962500721156,3.0
L7-0393,1.584962500721156,3.0
L7-0399,1.584962500721156,3.0
L7-0401,0.0,0.0
L7-0403,2.0,4.0
L7-0407,1.584962500721156,3.0
L7-0408,1.584962500721156,3.0
L7-0410,1.584962500721156,3.0
L7-0411,1.584962500721156,3.0
L7-0415,2.0,4.0
L7-0419,2.0,4.0
L7-0421,2.0,4.0
L7-0427,1.584962500721156,3.0
L7-0435,0.0,0.0
L7-0437,2.0,4.0
L7-0443,1.584962500721156,3.0
L7-0451,1.584962500721156,3.0
L7-0459,-0.0,1.0
L7-0463,1.584962500721156,3.0
L7-0466,2.0,4.0
L7-0471,1.584962500721156,3.0
L7-0478,2.0,4.0
L7-0479,2.0,4.0
L7-0480,1.584962500721156,3.0
L7-0481,1.584962500721156,3.0
L7-0486,1.584962500721156,3.0
L7-0487,1.584962500721156,3.0
L7-0489,1.584962500721156,3.0
L7-0493,1.584962500721156,3.0
L7-0495,1.584962500721156,3.0
L7-0503,2.0,4.0
L7-0504,2.0,4.0
L7-0509,0.0,0.0
L7-0510,0.0,0.0
L7-0514,-0.0,1.0
L7-0515,2.0,4.0
L7-0519,0.0,0.0
L7-0520,0.0,0.0
L7-0521,1.584962500721156,3.0
L7-0523,2.0,4.0
L7-0527,0.0,0.0
L7-0529,2.0,4.0
L7-0530,2.0,4.0
L7-0535,1.584962500721156,3.0
L7-0543,1.584962500721156,3.0
L7-0545,1.584962500721156,3.0
L7-0546,2.0,4.0
L7-0551,2.0,4.0
L7-0559,0.0,0.0
L7-0567,0.0,0.0
L7-0573,0.0,0.0
L7-0579,0.0,0.0
L7-0580,0.0,0.0
L7-0586,0.0,0.0
L7-0587,-0.0,1.0
L7-0593,1.584962500721156,3.0
L7-0594,2.0,4.0
L7-0601,1.584962500721156,3.0
L7-0602,1.584962500721156,3.0
L7-0605,0.0,0.0
L7-0609,1.584962500721156,3.0
L7-0617,0.0,0.0
L7-0623,2.0,4.0
L7-0624,2.0,4.0
L7-0625,1.584962500721156,3.0
L7-0626,2.0,4.0
L7-0627,1.584962500721156,3.0
L7-0629,1.584962500721156,3.0
L7-0631,2.0,4.0
L7-0633,2.0,4.0
L7-0635,2.0,4.0
L7-0639,2.0,4.0
L7-0640,1.584962500721156,3.0
L7-0641,2.0,4.0
L7-0647,1.584962500721156,3.0
L7-0648,2.0,4.0
L7-0649,2.0,4.0
L7-0653,2.0,4.0
L7-0655,2.0,4.0
L7-0661,2.0,4.0
L7-0662,1.584962500721156,3.0
L7-0666,2.0,4.0
L7-0669,2.0,4.0
L7-0672,2.0,4.0
L7-0677,2.0,4.0
L7-0678,1.584962500721156,3.0
L7-0679,0.0,0.0
L7-0680,1.584962500721156,3.0
L7-0681,0.0,0.0
L7-0683,2.0,4.0
L7-0685,1.584962500721156,3.0
L7-0693,1.584962500721156,3.0
L7-0699,1.584962500721156,3.0
L7-0705,1.584962500721156,3.0
L7-0708,1.584962500721156,3.0
L7-0711,1.0,2.0
L7-0713,1.584962500721156,3.0
L7-0717,1.584962500721156,3.0
L7-0719,1.584962500721156,3.0
L7-0723,0.0,0.0
L7-0724,0.0,0.0
L7-0729,-0.0,1.0
L7-0735,1.0,2.0
L7-0737,1.584962500721156,3.0
L7-0741,0.0,0.0
L7-0745,2.0,4.0
L7-0748,0.0,0.0
L7-0751,0.0,0.0
L7-0755,1.584962500721156,3.0
L7-0763,1.584962500721156,3.0
L7-0764,1.584962500721156,3.0
L7-0767,-0.0,1.0
L7-0769,2.0,4.0
L7-0777,1.584962500721156,3.0
L7-0783,0.0,0.0
L7-0789,2.0,4.0
L7-0794,1.584962500721156,3.0
L7-0795,2.0,4.0
L7-0796,2.0,4.0
L7-0801,1.584962500721156,3.0
L7-0802,0.0,0.0
L7-0809,1.584962500721156,3.0
L7-0811,-0.0,1.0
L7-0815,-0.0,1.0
L7-0816,-0.0,1.0
L7-0817,1.584962500721156,3.0
L7-0818,0.0,0.0
L7-0819,1.584962500721156,3.0
L7-0827,1.584962500721156,3.0
L7-0829,1.584962500721156,3.0
L7-0830,1.584962500721156,3.0
L7-0835,0.0,0.0
L7-0836,0.0,0.0
L7-0842,0.0,0.0
L7-0843,1.584962500721156,3.0
L7-0844,0.0,0.0
L7-0845,2.0,4.0
L7-0846,2.0,4.0
L7-0854,1.584962500721156,3.0
L7-0859,-0.0,1.0
L7-0862,1.584962500721156,3.0
L7-0863,2.0,4.0
L7-0866,2.0,4.0
L7-0868,1.584962500721156,3.0
L7-0874,1.584962500721156,3.0
L7-0875,0.0,0.0
L7-0880,2.0,4.0
L7-0888,0.0,0.0
L7-0896,0.0,0.0
L7-0898,0.0,0.0
L7-0900,0.0,0.0
L7-0904,0.0,0.0
L7-0905,1.584962500721156,3.0
L7-0910,1.584962500721156,3.0
L7-0912,0.0,0.0
L7-0916,0.0,0.0
L7-0920,0.0,0.0
L7-0921,1.584962500721156,3.0
L7-0922,0.0,0.0
L7-0925,0.0,0.0
L7-0926,2.0,4.0
L7-0929,0.0,0.0
L7-0934,0.0,0.0
L7-0937,0.0,0.0
L7-0940,0.0,0.0
L7-0946,0.0,0.0
L7-0948,0.0,0.0
L7-0949,0.0,0.0
L7-0950,0.0,0.0
L7-0952,0.0,0.0
L7-0957,2.0,4.0
L7-0958,1.584962500721156,3.0
L7-0960,2.0,4.0
L7-0964,1.0,2.0
L7-0970,0.0,0.0
L7-0973,2.0,4.0
L7-0976,0.0,0.0
L7-0978,-0.0,1.0
L7-0979,-0.0,1.0
L7-0983,1.584962500721156,3.0
L7-0984,0.0,0.0
L7-0990,0.0,0.0
L7-0993,2.0,4.0
L7-0994,-0.0,1.0
L7-0999,0.0,0.0
L7-1000,0.0,0.0
L7-1005,1.584962500721156,3.0
L7-1011,1.584962500721156,3.0
L7-1013,1.584962500721156,3.0
L7-1014,1.0,2.0
L7-1017,-0.0,1.0
L7-1018,2.0,4.0
L7-1021,0.0,0.0
L7-1025,1.584962500721156,3.0
L7-1026,1.584962500721156,3.0
L7-1027,1.584962500721156,3.0
L7-1035,1.584962500721156,3.0
L7-1037,0.0,0.0
L7-1041,1.584962500721156,3.0
L7-1047,0.0,0.0
L7-1049,-0.0,1.0
L7-1050,0.0,0.0
L7-1051,0.0,0.0
L7-1053,0.0,0.0
L7-1054,0.0,0.0
L7-1059,1.584962500721156,3.0
L7-1062,1.584962500721156,3.0
L7-1063,0.0,0.0
L7-1067,1.584962500721156,3.0
L7-1068,0.0,0.0
L7-1069,-0.0,1.0
L7-1070,1.584962500721156,3.0
L7-1071,-0.0,1.0
L7-1072,0.0,0.0
L7-1073,1.584962500721156,3.0
L7-1075,0.0,0.0
L7-1081,0.0,0.0
L7-1087,0.0,0.0
L7-1093,1.0,2.0
L7-1101,1.0,2.0
L7-1107,1.584962500721156,3.0
L7-1113,0.0,0.0
L7-1117,0.0,0.0
L7-1123,0.0,0.0
L7-1129,1.584962500721156,3.0
L7-1133,0.0,0.0
L7-1134,0.0,0.0
L7-1139,2.0,4.0
L7-1141,2.0,4.0
L7-1145,1.584962500721156,3.0
L7-1146,1.584962500721156,3.0
L7-1153,0.0,0.0
L7-1159,0.0,0.0
L7-1165,2.0,4.0
L7-1173,2.0,4.0
L7-1175,-0.0,1.0
L7-1179,0.0,0.0
L7-1180,1.584962500721156,3.0
L7-1185,1.0,2.0
