id,shannon,richness
L7-0001,2.3219280948873626,5.0
L7-0007,2.3219280948873626,5.0
L7-0013,2.3219280948873626,5.0
L7-0020,2.3219280948873626,5.0
L7-0025,0.0,0.0
L7-0029,0.0,0.0
L7-0030,0.0,0.0
L7-0031,2.0,4.0
L7-0033,0.0,0.0
L7-0035,0.0,0.0
L7-0036,2.0,4.0
L7-0038,2.0,4.0
L7-0039,0.0,0.0
L7-0045,1.584962500721156,3.0
L7-0051,0.0,0.0
L7-0054,0.0,0.0
L7-0058,0.0,0.0
L7-0060,1.584962500721156,3.0
L7-0066,2.0,4.0
L7-0067,1.584962500721156,3.0
L7-0072,2.3219280948873626,5.0
L7-0078,2.0,4.0
L7-0082,2.0,4.0
L7-0083,2.3219280948873626,5.0
L7-0084,0.0,0.0
L7-0091,2.3219280948873626,5.0
L7-0094,-0.0,1.0
L7-0095,2.0,4.0
L7-0096,1.584962500721156,3.0
L7-0100,2.0,4.0
L7-0106,2.0,4.0
L7-0112,2.0,4.0
L7-0115,2.3219280948873626,5.0
L7-0121,2.0,4.0
L7-0123,2.3219280948873626,5.0
L7-0125,2.3219280948873626,5.0
L7-0131,2.3219280948873626,5.0
L7-0132,2.0,4.0
L7-0139,2.3219280948873626,5.0
L7-0144,2.3219280948873626,5.0
L7-0145,2.3219280948873626,5.0
L7-0147,2.3219280948873626,5.0
L7-0148,2.3219280948873626,5.0
L7-0149,0.0,0.0
L7-0150,2.0,4.0
L7-0153,0.0,0.0
L7-0155,2.3219280948873626,5.0
L7-0157,2.3219280948873626,5.0
L7-0163,2.3219280948873626,5.0
L7-0171,2.0,4.0
L7-0177,2.0,4.0
L7-0179,2.0,4.0
L7-0181,2.0,4.0
L7-0185,2.0,4.0
L7-0186,2.0,4.0
L7-0191,2.0,4.0
L7-0192,2.0,4.0
L7-0197,2.3219280948873626,5.0
L7-0198,2.0,4.0
L7-0199,2.0,4.0
L7-0201,2.3219280948873626,5.0
L7-0205,2.3219280948873626,5.0
L7-0207,2.0,4.0
L7-0213,2.3219280948873626,5.0
L7-0214,2.3219280948873626,5.0
L7-0215,1.584962500721156,3.0
L7-0217,0.0,0.0
L7-0218,2.3219280948873626,5.0
L7-0221,2.3219280948873626,5.0
L7-0222,2.3219280948873626,5.0
L7-0229,2.3219280948873626,5.0
L7-0230,2.3219280948873626,5.0
L7-0231,0.0,0.0
L7-0232,0.0,0.0
L7-0233,2.3219280948873626,5.0
L7-0235,2.3219280948873626,5.0
L7-0236,0.0,0.0
L7-0239,2.3219280948873626,5.0
L7-0245,0.0,0.0
L7-0251,2.3219280948873626,5.0
L7-0253,2.3219280948873626,5.0
L7-0255,0.0,0.0
L7-0256,0.0,0.0
L7-0259,0.0,0.0
L7-0261,2.3219280948873626,5.0
L7-0269,0.0,0.0
L7-0273,0.0,0.0
L7-0278,0.0,0.0
L7-0279,2.3219280948873626,5.0
L7-0280,2.3219280948873626,5.0
L7-0285,2.3219280948873626,5.0
L7-0288,2.3219280948873626,5.0
L7-0291,2.3219280948873626,5.0
L7-0297,2.3219280948873626,5.0
L7-0303,2.3219280948873626,5.0
L7-0304,2.3219280948873626,5.0
L7-0309,2.3219280948873626,5.0
L7-0311,2.3219280948873626,5.0
L7-0312,2.3219280948873626,5.0
L7-0313,2.3219280948873626,5.0
L7-0317,2.3219280948873626,5.0
L7-0323,2.3219280948873626,5.0
L7-0325,2.3219280948873626,5.0
L7-0327,2.3219280948873626,5.0
L7-0329,2.3219280948873626,5.0
L7-0331,2.3219280948873626,5.0
L7-0335,0.0,0.0
L7-0337,2.3219280948873626,5.0
L7-0339,2.3219280948873626,5.0
L7-0347,2.3219280948873626,5.0
L7-0349,2.3219280948873626,5.0
L7-0350,2.3219280948873626,5.0
L7-0355,2.3219280948873626,5.0
L7-0360,0.0,0.0
L7-0361,2.0,4.0
L7-0367,2.3219280948873626,5.0
L7-0368,2.3219280948873626,5.0
L7-0369,2.3219280948873626,5.0
L7-0370,0.0,0.0
L7-0371,2.0,4.0
L7-0373,2.3219280948873626,5.0
L7-0375,2.3219280948873626,5.0
L7-0379,2.3219280948873626,5.0
L7-0381,2.0,4.0
L7-0384,2.0,4.0
L7-0385,0.0,0.0
L7-0387,2.0,4.0
L7-0393,2.0,4.0
L7-0399,2.3219280948873626,5.0
