Species,Selected Species,Genetic Similarity
L. aquatica,L. monocytogenes,0.7320422065200602
L. booriae,L. monocytogenes,0.7352500824732379
L. cossartiae,L. monocytogenes,0.8950603125668455
L. farberi,L. monocytogenes,0.883937315025735
L. fleischmannii,L. monocytogenes,0.7364514243448324
L. grandensis,L. monocytogenes,0.731753958577007
L. grayi,L. monocytogenes,0.730601969002434
L. immobilis,L. monocytogenes,0.8253308739696663
L. innocua,L. monocytogenes,0.8837479677698018
L. ivanovii,L. monocytogenes,0.8280882728891072
L. marthii,L. monocytogenes,0.8948116193121857
L. newyorkensis,L. monocytogenes,0.7318446152005563
L. portnoyi,L. monocytogenes,0.732213921952327
L. rocourtiae,L. monocytogenes,0.7316384797615971
L. seeligeri,L. monocytogenes,0.8299269453051463
L. swaminathanii,L. monocytogenes,0.8972843299872091
L. weihenstephanensis,L. monocytogenes,0.7329528270981099
L. welshimeri,L. monocytogenes,0.8647971993827515
