Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-0001,NC-GSM-1,Listeria,L. monocytogenes,57,30,3060392,37.65,536494,103.118,PRJNA561882,SRR10019272,VTKV00000000,L2,NC,35.474,-83.8701,487.79,0.428,0.2138,4.7973,4.639,7.3493,140.7795,73.606,0.4037,79.7467,120.1749,53.9961,15.4657,0.2301,43.1473,7.1095,20.6678,1.6885,173.575,7.7397,-3.0623,3.6666,2.6328,1.6472,0.1679,0.0275,94.9182,0.2783,0.1173,0.153,0.0,0.0577
L7-0007,NC-GSM-3,Listeria,L. innocua,31,19,2832799,37.39,537072,131.646,PRJNA561882,SRR11344258,JAASAA000000000,L6,NC,35.4815,-83.8587,779.8,0.4425,0.2198,7.4885,4.102,11.597,126.6213,153.0297,0.5256,149.5601,126.7644,99.4499,36.2672,0.2979,61.2555,10.7639,25.1317,2.3188,173.575,7.7397,-3.0623,3.6666,2.5981,1.4779,0.1346,0.0317,95.1514,0.2998,0.1073,0.1415,0.0,0.0577
L7-0013,NC-GSM-4,Listeria,L. monocytogenes,57,27,2980928,37.81,453470,123.784,PRJNA561882,SRR10019271,VTKU00000000,L2,NC,35.4844,-83.8381,707.26,1.0843,0.478,7.5004,5.396,11.0852,137.5845,1098.006,0.4162,24.2804,219.8493,232.2258,42.1056,0.2625,55.089,7.1522,16.3886,2.7404,173.575,7.7397,-3.0623,3.6666,2.9263,1.2952,0.1345,0.0548,95.0007,0.3064,0.0917,0.1326,0.0,0.0577
L7-0020,NC-GSM-5,Listeria,L. swaminathanii,166,13,2797502,38.67,1428095,127.09,PRJNA561882,SRR11344257,JAATOD000000000,-,NC,35.4727,-83.8513,587.15,0.4674,0.3683,8.8855,4.486,10.8152,139.4947,162.7989,0.4159,90.919,92.7424,66.6043,47.698,0.2333,43.6694,7.753,24.5999,2.5424,173.575,7.7397,-3.0623,3.6666,2.9403,1.6141,0.1736,0.0462,94.5999,0.2758,0.1194,0.1729,0.0,0.0577
L7-0025,NC-GSM-2,Listeria,L. booriae,S5001,29,3799189,41.77,344962,60.7694,PRJNA561882,SRR11343925,JAATOC000000000,L12,NC,35.485,-83.8675,584.73,0.4241,0.2226,5.0271,4.677,7.0913,116.8586,142.0197,0.3764,83.4815,72.5707,42.1176,14.9797,0.2424,41.2288,8.2711,20.1337,1.4317,173.575,7.7397,-3.0623,3.6666,2.5109,1.4449,0.1331,0.0279,95.2959,0.3105,0.1056,0.1136,0.0,0.0577
L7-0029,NC-GSM-4,Listeria,L. booriae,S5002,27,3618090,41.96,323342,92.954,PRJNA561882,SRR11343878,JAARZZ000000000,L12,NC,35.4844,-83.8381,707.26,1.0843,0.478,7.5004,5.396,11.0852,137.5845,1098.006,0.4162,24.2804,219.8493,232.2258,42.1056,0.2625,55.089,7.1522,16.3886,2.7404,173.575,7.7397,-3.0623,3.6666,2.9263,1.2952,0.1345,0.0548,95.0007,0.3064,0.0917,0.1326,0.0,0.0577
L7-0030,NC-GSM-5,Listeria,L. booriae,S5003,30,3631779,41.86,351581,100.934,PRJNA561882,SRR11343863,JAARZY000000000,L12,NC,35.4727,-83.8513,587.15,0.4674,0.3683,8.8855,4.486,10.8152,139.4947,162.7989,0.4159,90.919,92.7424,66.6043,47.698,0.2333,43.6694,7.753,24.5999,2.5424,173.575,7.7397,-3.0623,3.6666,2.9403,1.6141,0.1736,0.0462,94.5999,0.2758,0.1194,0.1729,0.0,0.0577
L7-0031,TX-LL-2,Listeria,L. welshimeri,177,50,2795045,36.19,294483,199.222,PRJNA561882,SRR11344216,JAASWX000000000,L8,TX,33.064,-96.9824,143.07,0.1929,0.0722,1.1813,7.212,1.9233,1.9937,1675.9138,0.0583,1.8395,121.6505,142.3598,3.964,0.0232,20.0542,26.0847,8.7093,0.9138,40.875,13.1026,1.3394,3.5097,25.7036,8.3915,38.4836,0.0858,10.8781,1.1686,11.2025,0.7847,0.0474,3.2541
L7-0033,TX-LL-2,Listeria,L. booriae,S5015,28,3365333,41.95,310918,51.267,PRJNA561882,SRR11344205,JAARZX000000000,L12,TX,33.064,-96.9824,143.07,0.1929,0.0722,1.1813,7.212,1.9233,1.9937,1675.9138,0.0583,1.8395,121.6505,142.3598,3.964,0.0232,20.0542,26.0847,8.7093,0.9138,40.875,13.1026,1.3394,3.5097,25.7036,8.3915,38.4836,0.0858,10.8781,1.1686,11.2025,0.7847,0.0474,3.2541
L7-0035,TX-MC-1,Listeria,L. booriae,S5016 ,62,3574472,41.73,123488,109.395,PRJNA561882,SRR11344194,JAARZW000000000,L12,TX,29.5556,-98.4477,230.39,0.1986,0.3582,7.4554,8.085,7.4803,1.1537,45598.1263,0.1738,0.5409,538.6151,392.2781,10.0928,0.0996,34.1751,9.3676,21.5837,0.3618,33.525,15.7671,2.6819,2.8993,0.1994,24.1765,56.196,1.0446,7.6835,5.5887,0.7176,0.0466,0.0103,4.3369
L7-0036,TX-MC-1,Listeria,L. welshimeri,178,20,2729643,36.31,384870,169.246,PRJNA561882,SRR11344119,JAASWW000000000,L8,TX,29.5556,-98.4477,230.39,0.1986,0.3582,7.4554,8.085,7.4803,1.1537,45598.1263,0.1738,0.5409,538.6151,392.2781,10.0928,0.0996,34.1751,9.3676,21.5837,0.3618,33.525,15.7671,2.6819,2.8993,0.1994,24.1765,56.196,1.0446,7.6835,5.5887,0.7176,0.0466,0.0103,4.3369
L7-0038,TX-MC-1,Listeria,L. welshimeri,179,23,2738915,36.24,247605,46.0602,PRJNA561882,SRR11344108,JAARZV000000000,L8,TX,29.5556,-98.4477,230.39,0.1986,0.3582,7.4554,8.085,7.4803,1.1537,45598.1263,0.1738,0.5409,538.6151,392.2781,10.0928,0.0996,34.1751,9.3676,21.5837,0.3618,33.525,15.7671,2.6819,2.8993,0.1994,24.1765,56.196,1.0446,7.6835,5.5887,0.7176,0.0466,0.0103,4.3369
L7-0039,TX-MC-3,Listeria,L. booriae,S5016,66,3561066,41.68,127008,71.3356,PRJNA561882,SRR11344256,JAASWV000000000,L12,TX,29.5619,-98.4486,234.33,0.2272,0.2159,2.8902,7.374,5.9186,4.1468,6942.6574,0.0605,0.2026,344.8315,272.2829,3.6851,0.023,29.1149,2.9468,5.5028,0.2136,33.525,15.7671,2.6819,2.8993,0.1755,23.819,56.5446,1.0883,8.7434,5.2757,0.6693,0.0233,0.0071,3.6539
L7-0045,TX-CR-1,Listeria,L. welshimeri,19,38,2787317,36.3,142283,104.895,PRJNA561882,SRR11344149,JAARZU000000000,L8,TX,29.3392,-98.8853,233.32,0.2363,0.221,4.4684,7.606,3.4083,3.7986,40159.8329,0.1635,36.3,377.6326,704.8368,97.2384,0.1114,204.7156,5.6744,793.7161,0.9136,29.725,16.2068,2.6384,2.8909,0.3759,6.6038,2.3925,0.0118,16.3902,47.6469,2.0962,0.4647,21.7072,2.3109
L7-0051,TX-CR-3,Listeria,L. booriae,S5016,80,3648983,41.55,96793,68.7253,PRJNA561882,SRR11344138,JAARZT000000000,L12,TX,29.3343,-98.887,289.92,0.1848,0.3043,5.107,8.126,5.084,2.9641,35511.234,0.1382,20.1424,455.8034,522.6904,81.7257,0.0912,43.5746,6.1213,43.3126,0.7354,29.725,16.2068,2.6384,2.8909,0.3247,7.4513,2.4668,0.0141,15.5953,48.3772,1.7886,0.4691,21.8257,1.6873
L7-0054,TX-CR-4,Listeria,L. booriae,S5016,101,3499911,41.74,80324,56.3956,PRJNA561882,SRR11344127,JAARZS000000000,L12,TX,29.3381,-98.8836,220.0,0.2343,0.3466,8.5384,8.064,5.4103,0.0,48913.7408,0.2896,1.4044,524.5871,601.48,26.7184,0.1116,44.0635,16.0481,52.6446,0.8174,29.725,16.2068,2.6384,2.8909,0.3639,6.6104,2.4027,0.0124,15.9973,47.1162,1.8827,0.4877,22.2055,2.9212
L7-0058,TX-CR-5,Listeria,L. booriae,S5017,36,3318002,41.88,288410,75.2269,PRJNA561882,SRR11343991,JAARZR000000000,L12,TX,29.3372,-98.8821,218.76,0.2123,0.127,5.9878,8.186,3.5857,0.8705,51831.1782,0.2158,5.3892,368.6503,541.7615,44.9895,0.1132,49.9268,7.5437,55.3121,0.9449,29.725,16.2068,2.6384,2.8909,0.37,6.6635,2.4193,0.0126,15.8155,46.5854,1.7566,0.4991,22.7091,3.1689
L7-0060,TX-GCS-1,Listeria,L. welshimeri,89,14,2765226,36.17,1467333,136.925,PRJNA561882,SRR11343980,JAARZQ000000000,L8,TX,29.5491,-98.7657,311.54,0.3244,0.3896,5.3676,7.797,10.7148,5.9427,14096.9117,0.108,0.5522,358.8616,254.4356,2.7438,0.0483,30.5981,3.1809,8.7617,0.2245,37.075,15.6935,1.9519,2.8997,0.0323,7.7817,12.1604,0.6279,54.7417,14.9499,5.8539,0.0,3.83,0.0222
L7-0066,TX-GCS-2,Listeria,L. welshimeri,180,18,2771901,36.24,480886,133.516,PRJNA561882,SRR11343969,JAATOB000000000,L8,TX,29.5499,-98.7643,312.12,0.3422,0.2005,2.8119,8.152,4.872,10.8959,11617.3231,0.0651,0.3047,663.5393,209.1221,2.4373,0.0401,31.2795,4.1107,8.4683,0.0889,37.075,15.6935,1.9519,2.8997,0.0319,7.8724,12.3576,0.5923,55.1802,14.6287,5.6984,0.0,3.6162,0.0222
L7-0067,TX-GCS-2,Listeria,L. welshimeri,89,14,2766899,36.18,1466891,215.523,PRJNA561882,SRR11343958,JAARZP000000000,L8,TX,29.5499,-98.7643,312.12,0.3422,0.2005,2.8119,8.152,4.872,10.8959,11617.3231,0.0651,0.3047,663.5393,209.1221,2.4373,0.0401,31.2795,4.1107,8.4683,0.0889,37.075,15.6935,1.9519,2.8997,0.0319,7.8724,12.3576,0.5923,55.1802,14.6287,5.6984,0.0,3.6162,0.0222
L7-0072,TX-GCS-4,Listeria,L. farberi,181,14,2948585,36.85,539249,343.736,PRJNA561882,SRR11343947,JAARZO000000000,L7,TX,29.5531,-98.7545,325.91,0.332,0.3562,5.3126,7.502,8.5248,9.5319,10524.5659,0.054,0.3425,188.8721,346.733,2.7864,0.041,35.3892,1.8999,4.6299,0.1125,37.075,15.6935,1.9519,2.8997,0.0359,8.3675,14.2287,0.5664,54.6354,14.2021,5.2449,0.0,2.6951,0.0239
